fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,good_quality,cluster,free_to_total_SO2,total_acidity,alcohol_acidity_ratio,PC1_score,PC2_score
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,0,1,0.3103448275862069,8.41,14.918032786885245,1.5663952756979533,-0.30773032698036334
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5,0,1,0.3586206896551724,9.52,14.838709677419354,1.6469999558575639,4.715262347538736
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,0,1,0.34459459459459457,9.52,14.838709677419354,1.70477546780177,4.695814275442821
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,1,1,0.33980582524271846,8.78,37.49999999999999,1.2180283519779904,1.1411216819053227
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,0,1,0.2857142857142857,8.66,16.607142857142858,2.6887442281703833,1.0445932640707156
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,0,0,0.20689655172413793,7.99,15.254237288135593,-0.7420500321823572,0.5050187452366911
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,0,1,0.30357142857142855,8.22,28.749999999999996,3.3205945052667136,0.6198125222753269
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,0,1,0.48333333333333334,9.120000000000001,42.72727272727273,0.638776407749996,0.4815549227979721
7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,5,0,0,0.323943661971831,7.989999999999999,24.87179487179487,-0.1883196652976103,0.9779129436674622
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,0,1,0.2702702702702703,8.33,22.093023255813954,0.7045355292038656,-0.39711527482077735
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,0,0,0.13432835820895522,8.99,19.183673469387756,0.060726483323813356,0.45201897081073006
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,0,0,0.525,7.300000000000001,24.249999999999996,-0.8703294782924225,0.3977066800141221
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,0,0,0.4782608695652174,6.6899999999999995,23.846153846153847,-1.1687053851930813,-0.5584570783579847
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,0,0,0.36363636363636365,8.01,23.170731707317074,-0.25885677523780626,-1.1538824240832135
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,0,0,0.4,7.81,13.239436619718312,-1.7281682530360793,0.6210022592246301
7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,6,0,0,0.5,8.445,15.193798449612403,-1.3306818716496254,-0.3833886788701017
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,0,0,0.2073170731707317,7.375,14.962962962962962,-1.5362744682508795,1.176087330524875
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,0,0,0.5945945945945946,7.585000000000001,15.474452554744524,-1.797385595088094,0.6672342943153677
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,0,0,0.13274336283185842,8.955,14.961832061068703,-0.050070355722831,1.576393547250879
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,0,0,0.4819277108433735,7.505000000000001,15.53719008264463,-0.07036308035448714,4.282443768764011
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,0,0,0.26,5.5200000000000005,28.749999999999996,-1.0838582220321358,0.09583605736460177
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,0,0,0.2777777777777778,8.445,14.883720930232558,-0.5894935177784234,0.48960424226298344
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,0,0,0.2,8.4,18.000000000000004,-0.8517048957479506,-0.983687495212227
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,1,1,0.43333333333333335,8.48,25.52631578947368,0.4373457396280737,-0.5239114888937785
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,0,0,0.3684210526315789,6.83,8.672566371681418,-3.001808124384648,0.306409555766287
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,0,1,0.13793103448275862,7.75,23.333333333333332,0.7703481551474799,0.9887345497866057
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,0,0,0.3695652173913043,9.41,15.245901639344265,0.3551569178393225,0.7355759012825541
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,0,1,0.5714285714285714,7.99,21.42857142857143,1.3536631897603097,-0.33723415442154214
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,0,1,0.391304347826087,8.76,15.606060606060606,0.37730224747917085,-0.7179884490377161
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,0,0,0.45454545454545453,7.47,14.17910447761194,-2.151695753121709,-0.5399482741943736
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,0,0,0.12307692307692308,5.119999999999999,25.19230769230769,-4.288631106494732,-1.280140896440239
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,0,0,0.19298245614035087,8.635,9.839572192513367,0.28227933673455846,2.468415931914661
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,0,1,0.32432432432432434,8.989999999999998,32.758620689655174,1.2198833931303532,-0.6455510469230696
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,0,0,0.4166666666666667,6.800000000000001,22.999999999999996,-0.9538134711610375,-1.0172578604168367
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,0,0,0.125,5.909999999999999,29.677419354838708,-0.6356186365596179,0.5097331437040872
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,0,1,0.17391304347826086,9.46,13.939393939393938,0.5880433732717142,-0.5224235241966686
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,0,0,0.5333333333333333,7.119999999999999,18.076923076923077,-1.5682230045981875,-0.5059970218608865
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,0,0,0.42857142857142855,7.1,18.8,-1.530603667266989,-0.6875606027921913
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,0,1,0.25210084033613445,8.98,24.736842105263158,0.8903321003111315,2.1392531251091933
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,0,0,0.4520547945205479,8.11,20.0,-0.21949457929749555,1.4555804418247524
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,0,0,0.5555555555555556,8.32,15.32258064516129,-0.6971834530766511,1.5134007554195634
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,0,1,0.4,10.62,22.857142857142858,2.2747950146617915,-1.2722949685021228
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,0,0,0.45454545454545453,8.13,14.920634920634921,0.3817015258609488,4.14731669732862
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,0,0,0.3148148148148148,8.39,16.949152542372882,-0.7423926129477497,0.5867305993909532
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,0,0,0.1956521739130435,7.6899999999999995,24.102564102564102,-0.5257539123554557,-0.2263107960823074
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,0,1,0.36538461538461536,9.200000000000001,22.999999999999996,0.5395774938416973,0.4585435648046181
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,0,0,0.17857142857142858,8.39,13.478260869565219,0.7441271039486552,1.7940111173500526
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,1,0,0.34285714285714286,8.02,18.26923076923077,-0.6970354598249544,-0.014196358978074496
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,0,0,0.24074074074074073,7.735,13.333333333333334,-1.5442406628683698,0.6938411627984884
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,0,0,0.36363636363636365,7.925,15.03448275862069,-1.7419223033267617,-0.43936964421224955
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,0,0,0.28205128205128205,8.02,18.46153846153846,-1.0589122560513973,-0.0646176193876497
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,0,0,0.4,7.305,15.177304964539006,-1.9680959687102488,-0.8290928890959034
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,0,1,0.4153846153846154,9.620000000000001,33.4375,1.4257466280731723,-0.00610487935545687
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,0,0,0.42105263157894735,8.705,14.893617021276597,-0.7513790949871263,-0.7338747945005887
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,0,0,0.5555555555555556,8.33,15.079365079365079,-0.9951291123715621,0.20056527679516992
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,0,0,0.17708333333333334,8.370000000000001,14.17910447761194,-0.7435054529495879,1.455193006636149
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,0,0,0.19148936170212766,8.39,13.768115942028986,-0.8272517966447052,1.4496383604235916
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,0,0,0.2558139534883721,8.975000000000001,13.629629629629628,-0.14425072872111408,0.44921394562371864
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,0,1,0.3373493975903614,10.02,30.0,2.09870581842943,1.0781519319638673
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,0,1,0.21428571428571427,9.21,25.60975609756098,0.8933587065049008,-0.7585203087936325
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,0,0,0.4666666666666667,7.585,13.630573248407641,-2.1725420853651927,0.26116948597549067
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,0,0,0.15,7.45,13.466666666666667,-1.6753135881930123,0.8983268121747743
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,0,1,0.226890756302521,8.925,14.559999999999999,0.9719940193216696,2.1982428310584594
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,0,0,0.2,6.65,20.444444444444443,-1.3261008277027282,-0.9424532174240389
7.8,0.43,0.7,1.9,0.4639999999999999,22.0,67.0,0.9974,3.13,1.28,9.4,5,0,1,0.3283582089552239,8.23,21.86046511627907,4.26137439439078,1.3444328410781563
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,0,0,0.2876712328767123,7.9,18.2,0.1395382453982921,1.0226987921666444
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,0,1,0.3137254901960784,7.97,14.029850746268657,2.0827874407680773,1.3174376736291913
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,0,0,0.29508196721311475,6.6,34.333333333333336,-0.26493370878297795,-0.3006295587757121
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,0,0,0.475,7.45,18.36363636363636,-1.289205623301929,0.23635174954256202
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,0,1,0.14705882352941177,9.09,20.20408163265306,3.416318366909692,1.4434929886316876
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,0,0,0.2903225806451613,8.19,19.591836734693878,-0.5148323826313098,-0.49722740031485146
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,0,1,0.272,9.690000000000001,24.358974358974358,2.5810257552403586,2.105135541962992
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,0,0,0.3333333333333333,7.62,14.516129032258064,-1.3635414210664942,0.14502575349094862
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,0,0,0.3,8.42,18.26923076923077,-0.09918217827625214,3.1230465311870113
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,0,1,0.14285714285714285,9.09,20.000000000000004,3.5038503624201955,1.3799271427251787
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,0,0,0.4823529411764706,6.02,10.294117647058822,-4.571749468757924,2.3961807120996816
4.7,0.6,0.17,2.3,0.0579999999999999,17.0,106.0,0.9932,3.85,0.6,12.9,6,0,0,0.16037735849056603,5.3,21.5,-4.074583703140349,0.04968021168396028
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,0,0,0.34782608695652173,7.575,13.806451612903224,-1.9083677769790433,-0.08545172527359003
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,0,0,0.13636363636363635,7.5,18.4,-0.33167711557400176,-0.7271024389212052
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,0,0,0.5,8.5,10.88888888888889,-1.5511855961064815,-0.15686074218633567
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,0,0,0.37142857142857144,8.645,16.513761467889907,-0.21497918058805615,0.2491984277894457
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,0,0,0.22,8.91,16.721311475409834,-0.2903909542929468,-0.006302828630519751
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,0,0,0.36363636363636365,8.3,20.8,-0.47852037707258405,-1.050201611875838
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,0,0,0.18461538461538463,8.674999999999999,16.0,-0.33356741405080587,0.6479216084341289
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,0,0,0.1388888888888889,7.69,19.183673469387756,-0.7900654603647441,-0.434394560469725
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,0,1,0.2608695652173913,8.209999999999999,22.682926829268297,4.421670201937052,1.155660043529992
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,0,0,0.234375,6.83,14.761904761904763,-0.7685461686493151,0.7699543909427156
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,0,1,0.225,8.33,29.09090909090909,1.1376052043108063,0.5686422335986212
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,0,0,0.24183006535947713,8.885,11.847133757961783,0.8510391567725859,3.50234349834005
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,0,0,0.2553191489361702,8.36,16.96428571428571,0.40682423771563986,0.09141798996670972
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,0,0,0.10185185185185185,9.02,15.806451612903228,-0.034058496226970505,1.218453575076263
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,0,0,0.12612612612612611,9.0,16.333333333333336,0.016701531027654516,1.381915347070369
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,0,1,0.4782608695652174,10.41,31.29032258064516,1.6177904846044866,0.17251115004489062
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,0,1,0.20967741935483872,9.8,26.25,1.1767904329949899,-0.2603421875793612
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,0,0,0.275,8.84,18.51851851851852,-0.13089211510799134,-0.17406004911995712
7.8,0.56,0.12,2.0,0.0819999999999999,7.0,28.0,0.997,3.37,0.5,9.4,6,0,0,0.25,8.36,16.785714285714285,-0.8544111095243032,-0.19737256009599333
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,0,0,0.25,9.350000000000001,19.818181818181817,-0.28180224775466417,0.05498650986542916
7.0,0.69,0.08,1.8,0.0969999999999999,22.0,89.0,0.9959,3.34,0.54,9.2,6,0,0,0.24719101123595505,7.6899999999999995,13.333333333333334,-1.3291343556952677,1.800859854787787
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,0,0,0.11235955056179775,8.37,8.411214953271028,-1.1073634896072275,2.0574301758057745
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,0,0,0.23076923076923078,7.995,13.237410071942445,-1.5258704765848543,-0.05839434705673074
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,0,0,0.3235294117647059,8.71,13.380281690140846,-1.2718454602988583,0.5401669975630685
7.8,0.5,0.17,1.6,0.0819999999999999,21.0,102.0,0.996,3.39,0.48,9.5,5,0,0,0.20588235294117646,8.3,19.0,-0.9558295807285705,1.4118645409288717
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,0,0,0.3,9.62,15.161290322580646,0.6926429366733573,2.1889708443143556
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,0,0,0.25,9.53,8.19548872180451,-2.8392509996926285,-0.1192880572789284
8.1,1.33,0.0,1.8,0.0819999999999999,3.0,12.0,0.9964,3.54,0.48,10.9,5,0,0,0.25,9.43,8.19548872180451,-2.8962685127772545,-0.08928322186524291
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,1,0,0.1875,8.59,17.796610169491526,-0.6551264530511883,-1.322868353001598
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,0,0,0.3157894736842105,6.4799999999999995,24.736842105263158,-1.448898457680437,-0.8573077987549088
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,0,0,0.22388059701492538,8.745,12.61744966442953,0.7858280441930782,2.6949910107015143
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,0,0,0.1717171717171717,6.1,26.0,-3.1594643061544927,-0.2284756055790942
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,0,0,0.6538461538461539,7.1,19.6,-1.930643864008502,-0.21028729848836142
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,0,0,0.4482758620689655,8.940000000000001,9.51923076923077,-1.3855635555716377,0.5890705070770746
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,0,0,0.25396825396825395,9.145,12.885906040268456,-0.05067617662331849,0.8594127969510853
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,0,0,0.19230769230769232,9.015,13.286713286713287,-0.07184162053267601,0.375105240378245
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,0,0,0.28888888888888886,7.615,22.16867469879518,-0.30978438104978767,0.07219615658409556
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,0,0,0.14285714285714285,8.36,16.96428571428571,-0.6230806087471209,1.333883367225837
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,0,0,0.1574074074074074,8.36,16.96428571428571,-0.6055524317864099,1.46605486420279
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,0,0,0.42857142857142855,5.54,41.17647058823529,-3.838993446568042,-1.2713967003824156
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,0,0,0.15,6.6899999999999995,24.102564102564102,-1.376937698006948,-0.9795244420430714
8.1,0.67,0.55,1.8,0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,5,0,1,0.22695035460992907,8.77,14.029850746268657,1.0090707371308394,2.776125564253552
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,0,0,0.22340425531914893,6.4799999999999995,14.705882352941176,-2.8336035235234056,1.4471223037800254
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,0,1,0.11363636363636363,8.09,18.979591836734695,1.3537094931902893,1.0312317325854772
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,0,0,0.4,7.390000000000001,20.816326530612244,-1.4192154428346688,-0.37692874099016205
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,0,0,0.2558139534883721,8.6,26.25,0.029014611988058943,-0.4857391072645169
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,0,1,0.45454545454545453,7.63,31.21212121212121,-0.08166499869912427,-1.6719112934446294
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,0,1,0.463768115942029,9.719999999999999,18.076923076923077,8.643757331900554,2.363206389078502
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,0,0,0.25252525252525254,8.1,16.833333333333332,-1.5099547145193457,1.540806519782639
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,0,0,0.2248062015503876,7.529999999999999,24.41860465116279,0.3087788178447742,2.37652486046871
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,0,0,0.21875,7.529999999999999,24.41860465116279,0.2995713087967357,2.316055828164195
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,0,0,0.5454545454545454,7.779999999999999,13.676470588235293,-1.8531345953962248,0.3038350632261798
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,0,0,0.20930232558139536,7.3999999999999995,15.500000000000002,-1.5879265536193943,1.3878722588933656
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,0,0,0.35,8.549999999999999,10.105263157894736,-1.2845429386855673,0.12742298435045385
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,4,0,0,0.45,8.28,13.52941176470588,-0.08814880281704274,-0.28955212623777693
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,0,0,0.5483870967741935,8.33,18.867924528301884,-1.0676932702442705,-0.022760919280605585
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,0,0,0.2975206611570248,8.0,15.666666666666668,0.06063951215044626,3.8575321273513854
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,0,0,0.2892561983471074,7.89,15.93220338983051,0.017077988706824736,3.7698154814379596
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,0,0,0.14583333333333334,8.43,15.079365079365079,0.5045436982721692,0.9446756987118837
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,0,0,0.1782178217821782,7.4399999999999995,15.937499999999998,-1.4739745210297555,1.3508483372868447
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4,0,0,0.40476190476190477,7.85,16.363636363636363,-1.5635864650995421,0.5091187687634907
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,0,0,0.25,7.43,16.50793650793651,-1.9738134668222367,-0.07626977561814975
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,5,0,1,0.23809523809523808,8.205,13.47517730496454,2.886474254919406,1.1771029703522828
7.9,0.885,0.03,1.8,0.0579999999999999,4.0,8.0,0.9972,3.36,0.33,9.1,4,0,0,0.5,8.785,10.282485875706215,-1.7499068161334477,-0.04141657170109862
